date,p_structural,p_shock,tactical_level,risk_regime,structural_damage_score,breadth_damage_score,new_lows_ratio_proxy,ad_spread_proxy,sector_sync_breakdown_proxy,leadership_failure_proxy,regime_context,regime_multiplier,composite_risk_score,shock_high_cut_eff,shock_risk_cut_eff,hard_gate_reason,hard_force_crisis,hard_trend_cap_flag,hard_credit_high_flag,hard_max_allocation,recovery_active,recovery_cap,recovery_days,base_allocation,shock_modifier,tactical_multiplier,final_allocation,allocation_action,drawdown_252,ret5d,vol20,hurst_100
2025-10-23,0.0037413057623162,0.0498647929249946,0,LOW,0.2768946514633737,0.3470218060313613,0.3220043174939284,-0.459120320973012,0.1726700247174999,0.34414594776984,BULL,0.6,0.011930715761552182,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0020055943468304,0.0168321328031029,0.0084348993890454,0.8076273766797972
2025-10-22,0.0034390466463755,0.0454486288681869,2,LOW,0.33802341103489486,0.3661976517924027,0.3357979210453904,-0.5277038725841048,0.1833983830353037,0.3391744092688295,NEUTRAL,1.0,0.01814240042400949,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0078887802306765,0.0039538794134421,0.0084443525900383,0.8074209270105721
2025-10-21,0.0030958747792371,0.072174770936467,0,LOW,0.45199035863622145,0.6313187619338797,0.4423187964585244,-0.9491165663081332,0.5662479528010745,0.5591111598858087,BULL,0.6,0.01636409306056054,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.002703955521696,0.0136809819920669,0.0083840492866229,0.8072185801717282
2025-10-20,0.0044217397839956,0.0467644849713521,0,LOW,0.22457492671616358,0.2594578024329458,0.2627619363999615,-0.248525072616106,0.12659261719997,0.2747057622850966,BULL,0.6,0.011545020359742223,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0026890406587348,0.0124577587685696,0.0084935044113908,0.8070092828456071
2025-10-17,0.0039304920945168,0.0703240930856048,0,LOW,0.4122571739304757,0.5601205904189508,0.3939161903439455,-0.7711421953905291,0.5286014813786243,0.5086795271277922,BULL,0.6,0.016300951464838558,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,1.0,1.0,FULL_RISK_ON,0.0129547407574004,0.0174114825529891,0.0082316164279165,0.8067420454973921
2025-10-16,0.0105629563956233,0.0582227133678899,2,LOW,0.2389708385128156,0.1348141887504215,0.179397398847769,0.086449200859134,0.0617535324371536,0.2034801577660416,BEAR,1.5,0.04086580700387492,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.8,0.8,LIGHT_REDUCE,0.0185258967947868,-0.0156742754030322,0.0082073057640116,0.8061514109429424
2025-10-15,0.0079183059792406,0.0429044548347273,1,LOW,0.2121250172828921,0.2050519952708501,0.2136355305143499,-0.038212563777118,0.1463215645129368,0.2617404162418488,NEUTRAL,1.0,0.020163458078660945,0.4,0.2,NONE,0,0,0,1.0,0,1.0,38,1.0,1.0,0.9,0.9,LIGHT_REDUCE,0.0117960196050417,-0.0117960196050417,0.0081032455507646,0.8055343111833563
2025-10-14,0.0085777584654727,0.0510591356799567,1,HIGH,0.18418207093042457,0.1535033635548124,0.1846663434579064,0.0642872837519061,0.0904492561955745,0.2258039243590237,NEUTRAL,1.0,0.0234462404905421,0.4,0.2,CREDIT_HIGH,0,0,1,1.0,0,1.0,38,0.45,1.0,0.9,0.405,REDUCE_TO_35_60,0.0161638008454726,-0.010297090826886,0.0080618713148124,0.8046869181921941
2025-10-13,0.01191214422791,0.0534341884904664,1,HIGH,0.22328920278355632,0.2008874105581617,0.1723675155937495,0.1130422610392955,0.2404534958831171,0.3182638482885264,NEUTRAL,1.0,0.026444859719804738,0.4,0.2,CREDIT_HIGH,0,0,1,1.0,0,1.0,38,0.45,1.0,0.9,0.405,REDUCE_TO_35_60,0.0149604260485171,-0.0127603637109718,0.0080635263853408,0.8039541236832879
2025-10-10,0.0281495887943215,0.0593803876132343,2,HIGH,0.2304386688698219,0.0646428295175351,0.0802836903830934,0.4885281337152858,0.0,0.1782876276870472,BEAR,1.5,0.058620552571411466,0.4,0.2,CREDIT_HIGH,0,0,1,1.0,0,1.0,38,0.45,1.0,0.8,0.36000000000000004,REDUCE_TO_35_60,0.029846550615088,-0.024192753150969,0.0073624090452717,0.8035126675675239
