date,vol20,hurst_100,drawdown_252,ret5d,external_event,is_trading_day
2018-12-17,0.013836629027114274,0.8154448224903403,0.12624828805458888,-0.03298348353869718,0,1
2018-12-18,0.013316192761277566,0.8147043129634671,0.1272064636238388,-0.03426325087757032,0,1
2018-12-19,0.013580199028320165,0.8130272260042035,0.1402771018753941,-0.053491794299468265,0,1
2018-12-20,0.013901790826349994,0.8099489233094903,0.1542716972256295,-0.06858346255818992,0,1
2018-12-21,0.014407660576122626,0.8054332625125165,0.17160025772464482,-0.07050475196140671,0,1
2018-12-24,0.014407138480048508,0.7990689027297743,0.19348898416338833,-0.07695629683985139,0,1
2018-12-25,0.014308811836999079,0.7938435841017479,0.19348898416338833,-0.0759429553233798,0,0
2018-12-26,0.01810127782059382,0.7929501293960787,0.15274027468439322,-0.014496732419464697,0,1
2018-12-27,0.018315072110627547,0.7929229115977316,0.14623572882481062,0.009501832177612135,0,1
2018-12-28,0.01816389614422651,0.7931686006498517,0.14733685117896644,0.029289490698094944,0,1
2018-12-31,0.017955030775279872,0.7936988933505027,0.13986840720727411,0.06648461819271301,0,1
2019-01-01,0.016785646788203046,0.7938788243697692,0.13986840720727411,0.06648461819271301,0,0
2019-01-02,0.016798605519811858,0.7942994937579748,0.13897364675583768,0.016248415352715373,0,1
2019-01-03,0.01739724270772987,0.7938083128063652,0.15952014492748545,-0.015559817330361048,0,1
2019-01-04,0.018760967420380047,0.793799505175949,0.1313676865756268,0.01872857367580627,0,1
2019-01-07,0.018868999467169075,0.7936523323369091,0.12451897063833328,0.017845451437382254,0,1
2019-01-08,0.01902161444523991,0.7933150574208265,0.11629334081701792,0.027408673960819474,0,1
2019-01-09,0.01901578690230803,0.792910463709363,0.11216359185095881,0.031137322108509613,0,1
2019-01-10,0.019042173746284925,0.7924227019002423,0.10903137553463438,0.060071361720495986,0,1
2019-01-11,0.01858150091598443,0.7916375482488212,0.10868732224351241,0.02611043128559487,0,1
2019-01-14,0.018062585917173062,0.7905794385381807,0.11412519779268648,0.011872070892529951,0,1
2019-01-15,0.018209298278874644,0.7892643106963853,0.10397223889350793,0.013942524700335968,0,1
2019-01-16,0.017793103285865388,0.7876676659983967,0.10180415426247114,0.011668182892031975,0,1
2019-01-17,0.017271386578159385,0.7875717902583051,0.09498977358233662,0.015759928651498445,0,1
2019-01-18,0.01643020510981417,0.7868294112216091,0.08294428800880849,0.028882158727396856,0,1
2019-01-21,0.014725517596314899,0.7859602914432889,0.08294428800880849,0.03519787413095532,0,0
2019-01-22,0.015338641943777846,0.7855578310241611,0.09533382687345837,0.00964078613968633,0,1
2019-01-23,0.011175729576742602,0.7849460721560206,0.09344083305275352,0.00931124459037136,0,1
2019-01-24,0.011147574530917765,0.7841942758574867,0.09295926355311279,0.0022436321380159274,0,1
2019-01-25,0.011159173478836291,0.782955099262701,0.08528445767870074,-0.0025518293374030554,0,1
2019-01-28,0.01135717630710842,0.7818992367842678,0.09223623778076517,-0.010132372167205861,0,1
2019-01-29,0.011378003632644101,0.7807302157088731,0.09344083305275352,0.002092477730390341,0,1
2019-01-30,0.011739816341693772,0.7786734213967486,0.0790893962799033,0.01583066753511231,0,1
2019-01-31,0.009864686679219392,0.7767150545678277,0.07100157463357948,0.02420805156507888,0,1
2019-02-01,0.007280604685307344,0.7758134530287969,0.070554281997803,0.016103558974756904,0,1
2019-02-04,0.007255605196278335,0.7752723702988272,0.06401505052129441,0.031088691170572336,0,1
2019-02-05,0.007120265602192814,0.7750207460685974,0.06009172185124967,0.036786469562493096,0,1
2019-02-06,0.007176923560438302,0.7748173567521551,0.061330769166985766,0.019283768740613993,0,1
2019-02-07,0.007684602972705849,0.7746983254704303,0.07027884082770375,0.0007779709697470771,0,1
2019-02-08,0.007676725595082222,0.7747093078332133,0.06914314964321111,0.0015182514989955376,0,1
2019-02-11,0.007438467825621351,0.7747217783231701,0.06862683613335019,-0.004927200607898974,0,1
2019-02-12,0.007532767111759206,0.7751924559291643,0.0566500794674345,0.0036616789784997827,0,1
2019-02-13,0.007533976493253222,0.7756981336795334,0.053586884025194625,0.008249855100628922,0,1
2019-02-14,0.007514470681784808,0.7763862675937928,0.05568641492850279,0.015695486496394517,0,1
2019-02-15,0.007343413186438263,0.777323911721879,0.04539570624762712,0.02551138060216429,0,1
2019-02-18,0.007343413186438263,0.7785709032459559,0.04539570624762712,0.02494288088490504,0,0
2019-02-19,0.006372004418760661,0.7799169989916949,0.04374387673315694,0.013681246431855865,0,1
2019-02-20,0.006372477385300471,0.781430417060701,0.041816898015059945,0.01243641472361845,0,1
2019-02-21,0.006512763562161981,0.7825690634659035,0.04522362120877155,0.011079787355742665,0,1
2019-02-22,0.006424450330500502,0.7834077647497479,0.03930423455325116,0.00638114843421822,0,1
2019-02-25,0.005982087922064341,0.7842739246412919,0.03799634154331377,0.007751237609908257,0,1
2019-02-26,0.005960739365866967,0.7851168741453213,0.03868438973226351,0.005290932918273761,0,1
2019-02-27,0.005168130277554351,0.7850213665853903,0.03909775586394204,0.002837810587021483,0,1
2019-02-28,0.004993272385702426,0.785289233702012,0.04088739355340365,0.004541615975939495,0,1
2019-03-01,0.005090138857269078,0.7851628522065196,0.034899044417092795,0.00458541641859922,0,1
2019-03-04,0.005082432959035328,0.7852156926542283,0.038409298921931345,-0.00042926799184950237,0,1
2019-03-05,0.005071389382016736,0.7852040982856772,0.03971730871845758,-0.00107448477395089,0,1
2019-03-06,0.005295322457845646,0.7852497924184029,0.04553357281591264,-0.00669768125867698,0,1
2019-03-07,0.005180051281940756,0.7852568655355042,0.05351797993769891,-0.013169033854210421,0,1
2019-03-08,0.0052196841102570704,0.7852494198081301,0.055411265724876424,-0.021253964353806443,0,1
2019-03-11,0.006057303286035179,0.7853156983162157,0.041713249917344264,-0.0034359223645868964,0,1
2019-03-12,0.0054679931377496745,0.7854557180181888,0.038099814461145964,0.001684393847766863,0,1
2019-03-13,0.005591900763424758,0.7869336452517204,0.03173266802349328,0.014459287827582878,0,1
2019-03-14,0.00555274894147901,0.7874766737140128,0.03235187051824162,0.022362928160076345,0,1
2019-03-15,0.005152551665215897,0.7889281328176262,0.02757144507170517,0.02947295435884656,0,1
2019-03-18,0.005181520157165803,0.7907141100781943,0.024045482770649662,0.018436827124209687,0,1
2019-03-19,0.0051829217171066155,0.7916062531841394,0.023803559351586845,0.014862514140747685,0,1
2019-03-20,0.00525472398477591,0.79211183604114,0.026741734750328483,0.005154499287894909,0,1
2019-03-21,0.005642650460251614,0.7919495340930541,0.015749255456298683,0.01715769870896655,0,1
2019-03-22,0.0071919170178051705,0.7924802813266414,0.034692448941195386,-0.0073229069975380146,0,1
2019-03-25,0.007190469613681409,0.7928461448121962,0.03541804401850035,-0.011652757425762439,0,1
2019-03-26,0.0073680543919027,0.7929680463080364,0.028228252848103708,-0.004532585156301061,0,1
2019-03-27,0.007479532136135753,0.7929374187481936,0.03330975412101922,-0.0067484855820934,0,1
2019-03-28,0.007499227878292987,0.792865142035775,0.029645458105322153,-0.014118559448452084,0,1
2019-03-29,0.007501679055883304,0.7927929682369731,0.023527067102187216,0.011566657514241241,0,1
2019-04-01,0.00783261151060558,0.7929293744718703,0.011946800905843546,0.02433307296192777,0,1
2019-04-02,0.007809342545431953,0.793193829103655,0.011462837281128846,0.017252421277024865,0,1
2019-04-03,0.007605484245999592,0.7938452274366858,0.009907006342796398,0.02420914856438161,0,1
2019-04-04,0.0072147231271961505,0.7950648287379407,0.007280008810380267,0.023048739743384727,0,1
2019-04-05,0.0071564256938077215,0.7961157328296811,0.0024749413935699627,0.021559354078706683,0,1
2019-04-08,0.006607856034969672,0.7976680873980975,0.0017146606993391211,0.010355859599346706,0,1
